127.0.0.1 - - [28/Nov/2016:15:19:00 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3762
127.0.0.1 - - [28/Nov/2016:15:19:00 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:19:00 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:07 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:07 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:09 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:09 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:12 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:12 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:13 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:19:13 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:21:18 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2156
127.0.0.1 - - [28/Nov/2016:15:21:18 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
127.0.0.1 - - [28/Nov/2016:15:43:22 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:43:23 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3693
127.0.0.1 - - [28/Nov/2016:15:43:23 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2142
127.0.0.1 - - [28/Nov/2016:15:43:23 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:43:26 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:43:26 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:43:26 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2142
127.0.0.1 - - [28/Nov/2016:15:43:53 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:43:53 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:43:55 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:43:56 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:44:23 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:44:23 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:45:24 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:45:24 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2129
127.0.0.1 - - [28/Nov/2016:15:45:24 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:45:26 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:45:27 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:45:27 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:46:23 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:46:23 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2141
127.0.0.1 - - [28/Nov/2016:15:46:29 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2141
127.0.0.1 - - [28/Nov/2016:15:46:29 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:46:31 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:46:31 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:53:32 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3801
127.0.0.1 - - [28/Nov/2016:15:53:32 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:53:32 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:53:39 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:53:39 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:53:39 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:55:03 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:15:55:04 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2141
127.0.0.1 - - [28/Nov/2016:15:55:04 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:55:07 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:55:07 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:55:09 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [28/Nov/2016:15:55:09 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:01:21 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3848
127.0.0.1 - - [28/Nov/2016:16:01:21 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:01:21 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:01:27 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:01:27 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:01:27 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:03:28 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3891
127.0.0.1 - - [28/Nov/2016:16:03:29 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:03:29 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:03:32 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:03:32 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:03:34 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:03:34 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:04:37 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3880
127.0.0.1 - - [28/Nov/2016:16:04:37 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:04:37 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:04:39 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:04:40 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:04:40 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:04:40 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:08:58 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:08:58 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3890
127.0.0.1 - - [28/Nov/2016:16:08:59 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:08:59 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:09:03 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:09:03 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3890
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:09:05 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:09:05 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:11:46 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3936
127.0.0.1 - - [28/Nov/2016:16:11:47 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:11:47 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:11:51 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:11:51 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3936
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:11:51 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:16:22 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 4047
127.0.0.1 - - [28/Nov/2016:16:16:23 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:16:16:23 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:16:28 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:16:28 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:16:29 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:16:29 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:16:16:29 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
